Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,John DEVITT,1956 Melbourne / Stockholm,Swimming,Men's,100m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,John MONCKTON,1956 Melbourne / Stockholm,Swimming,Men's,100m backstroke,Images/Medal_Silver.png,AUS,Silver
NaN,Lorraine CRAPP,1956 Melbourne / Stockholm,Swimming,Women's,100m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Dawn FRASER,1956 Melbourne / Stockholm,Swimming,Women's,400m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Hector HOGAN,1956 Melbourne / Stockholm,Athletics,Men's,100m,Images/Medal_Bronze.png,AUS,Bronze
NaN,John LANDY,1956 Melbourne / Stockholm,Athletics,Men's,1500m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Allan LAWRENCE,1956 Melbourne / Stockholm,Athletics,Men's,10000m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Marlene MATHEWS-WILLARD,1956 Melbourne / Stockholm,Athletics,Women's,100m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Marlene MATHEWS-WILLARD,1956 Melbourne / Stockholm,Athletics,Women's,200m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Norma THROWER,1956 Melbourne / Stockholm,Athletics,Women's,80m hurdles,Images/Medal_Bronze.png,AUS,Bronze
NaN,Kevin HOGARTH,1956 Melbourne / Stockholm,Boxing,Men's,63.5 - 67kg (welterweight),Images/Medal_Bronze.png,AUS,Bronze
NaN,Dennis GREENWalter BROWN,1956 Melbourne / Stockholm,Canoe Sprint,Men's,K-2 10000m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Richard Francis PLOOG,1956 Melbourne / Stockholm,Cycling Track,Men's,sprint individual,Images/Medal_Bronze.png,AUS,Bronze
NaN,Mervyn WOODMurray RILEY,1956 Melbourne / Stockholm,Rowing,Men's,double sculls (2x),Images/Medal_Bronze.png,AUS,Bronze
NaN,Bryan DOYLEMichael AIKMANAngus BENFIELDDavid BOYKETTHarold HEWITTAdrian MONGERGarth MANTONJames HOWDENWalter HOWELL,1956 Melbourne / Stockholm,Rowing,Men's,eight with coxswain (8+),Images/Medal_Bronze.png,AUS,Bronze
NaN,Douglas BUXTONDevereaux MYTTONAlexander STURROCK,1956 Melbourne / Stockholm,Sailing,Mixed,5.5m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Gary CHAPMAN,1956 Melbourne / Stockholm,Swimming,Men's,100m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Faith LEECH,1956 Melbourne / Stockholm,Swimming,Women's,100m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Herb ELLIOTT,1960 Rome,Athletics,Men's,1500m,Images/Medal_Gold.png,AUS,Gold
NaN,Lawrence MORGAN,1960 Rome,Equestrian Eventing,Mixed,individual,Images/Medal_Gold.png,AUS,Gold
NaN,Lawrence MORGANBill ROYCROFTNeale LAVIS,1960 Rome,Equestrian Eventing,Mixed,team,Images/Medal_Gold.png,AUS,Gold
NaN,John DEVITT,1960 Rome,Swimming,Men's,100m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Murray ROSE,1960 Rome,Swimming,Men's,400m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,John KONRADS,1960 Rome,Swimming,Men's,1500m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,David THEILE,1960 Rome,Swimming,Men's,100m backstroke,Images/Medal_Gold.png,AUS,Gold
NaN,Dawn FRASER,1960 Rome,Swimming,Women's,100m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Noel FREEMAN,1960 Rome,Athletics,Men's,20km walk,Images/Medal_Silver.png,AUS,Silver
NaN,Brenda JONES,1960 Rome,Athletics,Women's,800m,Images/Medal_Silver.png,AUS,Silver
NaN,Neale LAVIS,1960 Rome,Equestrian Eventing,Mixed,individual,Images/Medal_Silver.png,AUS,Silver
NaN,Murray ROSE,1960 Rome,Swimming,Men's,1500m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Neville HAYES,1960 Rome,Swimming,Men's,200m butterfly,Images/Medal_Silver.png,AUS,Silver
NaN,David THEILENeville HAYESTerry GATHERCOLEGeoffrey SHIPTON,1960 Rome,Swimming,Men's,4x100m medley relay,Images/Medal_Silver.png,AUS,Silver
NaN,Lorraine CRAPPAlva COLQUHOUNIlsa KONRADSDawn FRASER,1960 Rome,Swimming,Women's,4x100m freestyle relay,Images/Medal_Silver.png,AUS,Silver
NaN,Janice ANDREWRosemary LASSIGDawn FRASERMarilyn WILSON,1960 Rome,Swimming,Women's,4x100m medley relay,Images/Medal_Silver.png,AUS,Silver
NaN,David POWER,1960 Rome,Athletics,Men's,10000m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Oliver TAYLOR,1960 Rome,Boxing,Men's,51 - 54kg (bantamweight),Images/Medal_Bronze.png,AUS,Bronze
NaN,Anthony MADIGAN,1960 Rome,Boxing,Men's,75 - 81kg (light-heavyweight),Images/Medal_Bronze.png,AUS,Bronze
NaN,John KONRADS,1960 Rome,Swimming,Men's,400m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,John DEVITTDavid DICKSONMurray ROSEJohn KONRADS,1960 Rome,Swimming,Men's,4x200m freestyle relay,Images/Medal_Bronze.png,AUS,Bronze
NaN,Janice ANDREW,1960 Rome,Swimming,Women's,100m butterfly,Images/Medal_Bronze.png,AUS,Bronze
NaN,Betty CUTHBERT,1964 Tokyo,Athletics,Women's,400m,Images/Medal_Gold.png,AUS,Gold
NaN,William NORTHAMPeter O'DONNELLJames SARGEANT,1964 Tokyo,Sailing,Mixed,5.5m,Images/Medal_Gold.png,AUS,Gold
NaN,Robert WINDLE,1964 Tokyo,Swimming,Men's,1500m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Ian O'BRIEN,1964 Tokyo,Swimming,Men's,200m breaststroke,Images/Medal_Gold.png,AUS,Gold
NaN,Kevin BERRY,1964 Tokyo,Swimming,Men's,200m butterfly,Images/Medal_Gold.png,AUS,Gold
NaN,Dawn FRASER,1964 Tokyo,Swimming,Women's,100m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Michele BROWN,1964 Tokyo,Athletics,Women's,high jump,Images/Medal_Silver.png,AUS,Silver
NaN,Janice MURPHYLynette BELLDawn FRASERRobyn THORN,1964 Tokyo,Swimming,Women's,4x100m freestyle relay,Images/Medal_Silver.png,AUS,Silver
NaN,Ron CLARKE,1964 Tokyo,Athletics,Men's,10000m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Marilyn BLACK,1964 Tokyo,Athletics,Women's,200m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Judith Florence AMOORE-POLLOCK,1964 Tokyo,Athletics,Women's,400m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Pamela RYAN,1964 Tokyo,Athletics,Women's,80m hurdles,Images/Medal_Bronze.png,AUS,Bronze
NaN,John MCBRYDEDesmond PIPEREric PEARCEGraham WOODDonald MCWATTERSPatrick NILANMervyn CROSSMANRaymond EVANSPaul DEARINGAnthony WATERSRobin HODDERJulian PEARCEBrian GLENCROSSDonald SMART,1964 Tokyo,Hockey,Men's,hockey,Images/Medal_Bronze.png,AUS,Bronze
NaN,Theodore BORONOVSKIS,1964 Tokyo,Judo,Men's,open category,Images/Medal_Bronze.png,AUS,Bronze
NaN,Allan WOOD,1964 Tokyo,Swimming,Men's,400m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Allan WOOD,1964 Tokyo,Swimming,Men's,1500m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Peter DOAKDavid DICKSONJohn RYANRobert WINDLE,1964 Tokyo,Swimming,Men's,4x100m freestyle relay,Images/Medal_Bronze.png,AUS,Bronze
NaN,Ian O'BRIENPeter REYNOLDSDavid DICKSONKevin BERRY,1964 Tokyo,Swimming,Men's,4x100m medley relay,Images/Medal_Bronze.png,AUS,Bronze
NaN,Ralph DOUBELL,1968 Mexico,Athletics,Men's,800m,Images/Medal_Gold.png,AUS,Gold
NaN,Maureen CAIRD,1968 Mexico,Athletics,Women's,80m hurdles,Images/Medal_Gold.png,AUS,Gold
NaN,Mike WENDEN,1968 Mexico,Swimming,Men's,100m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Mike WENDEN,1968 Mexico,Swimming,Men's,200m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Lynette MCCLEMENTS,1968 Mexico,Swimming,Women's,100m butterfly,Images/Medal_Gold.png,AUS,Gold
NaN,Peter NORMAN,1968 Mexico,Athletics,Men's,200m,Images/Medal_Silver.png,AUS,Silver
NaN,Raelene Ann BOYLE,1968 Mexico,Athletics,Women's,200m,Images/Medal_Silver.png,AUS,Silver
NaN,Pamela RYAN,1968 Mexico,Athletics,Women's,80m hurdles,Images/Medal_Silver.png,AUS,Silver
NaN,Julian PEARCEBrian GLENCROSSFrederick QUINNRaymond EVANSEric PEARCEJames MASONDonald SMARTPaul DEARINGRobert HAIGHGordon PEARCEDesmond PIPERPatrick NILANRonald RILEYDonald MARTIN,1968 Mexico,Hockey,Men's,hockey,Images/Medal_Silver.png,AUS,Silver
NaN,Joseph FAZIOAlfred DUVALAlan GROVERJohn RANCHGary PEARCEDavid DOUGLASMichael MORGANPeter DICKSONRobert SHIRLAW,1968 Mexico,Rowing,Men's,eight with coxswain (8+),Images/Medal_Silver.png,AUS,Silver
NaN,Mike WENDENRobert WINDLEGregory ROGERSGraham WHITE,1968 Mexico,Swimming,Men's,4x200m freestyle relay,Images/Medal_Silver.png,AUS,Silver
NaN,Lynette MCCLEMENTSJudy PLAYFAIRJanet STEINBECKLynette WATSON,1968 Mexico,Swimming,Women's,4x100m medley relay,Images/Medal_Silver.png,AUS,Silver
NaN,Jennifer LAMY,1968 Mexico,Athletics,Women's,200m,Images/Medal_Bronze.png,AUS,Bronze
NaN,Brian COBCROFTWayne ROYCROFTBill ROYCROFT,1968 Mexico,Equestrian Eventing,Mixed,team,Images/Medal_Bronze.png,AUS,Bronze
NaN,Gregory BROUGH,1968 Mexico,Swimming,Men's,1500m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Robert CUSACKMike WENDENGregory ROGERSRobert WINDLE,1968 Mexico,Swimming,Men's,4x100m freestyle relay,Images/Medal_Bronze.png,AUS,Bronze
NaN,Karen MORAS,1968 Mexico,Swimming,Women's,400m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,John SHAWJohn Bruce CUNEOThomas ANDERSON,1972 Munich,Sailing,Mixed,dragon,Images/Medal_Gold.png,AUS,Gold
NaN,David FORBESJohn ANDERSON,1972 Munich,Sailing,Mixed,two-person keelboat (Star),Images/Medal_Gold.png,AUS,Gold
NaN,Brad COOPER,1972 Munich,Swimming,Men's,400m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Shane GOULD,1972 Munich,Swimming,Women's,200m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Shane GOULD,1972 Munich,Swimming,Women's,400m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Beverly WHITFIELD,1972 Munich,Swimming,Women's,200m breaststroke,Images/Medal_Gold.png,AUS,Gold
NaN,Shane GOULD,1972 Munich,Swimming,Women's,200m individual medley,Images/Medal_Gold.png,AUS,Gold
NaN,Gail NEALL,1972 Munich,Swimming,Women's,400m individual medley,Images/Medal_Gold.png,AUS,Gold
NaN,Raelene Ann BOYLE,1972 Munich,Athletics,Women's,100m,Images/Medal_Silver.png,AUS,Silver
NaN,Raelene Ann BOYLE,1972 Munich,Athletics,Women's,200m,Images/Medal_Silver.png,AUS,Silver
NaN,Clyde SEFTON,1972 Munich,Cycling Road,Men's,individual road race,Images/Medal_Silver.png,AUS,Silver
NaN,John Michael NICHOLSON,1972 Munich,Cycling Track,Men's,sprint individual,Images/Medal_Silver.png,AUS,Silver
NaN,Daniel CLARK,1972 Munich,Cycling Track,Men's,1km time trial,Images/Medal_Silver.png,AUS,Silver
NaN,Graham WINDEATT,1972 Munich,Swimming,Men's,1500m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Shane GOULD,1972 Munich,Swimming,Women's,800m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Shane GOULD,1972 Munich,Swimming,Women's,100m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Beverly WHITFIELD,1972 Munich,Swimming,Women's,100m breaststroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Malcolm POOLEDoug GOLDERGraham REIDBarry DANCERRobert HAIGHRobert PROCTORDavid BELLWayne HAMMONDIan COOKEJames IRVINERichard CHARLESWORTHGregory BROWNINGTerry WALSHRonald RILEYTrevor SMITHStephen MARSHALL,1976 Montreal,Hockey,Men's,hockey,Images/Medal_Silver.png,AUS,Silver
NaN,Bill ROYCROFTDenis PIGOTTMervyn BENNETTWayne ROYCROFT,1976 Montreal,Equestrian Eventing,Mixed,team,Images/Medal_Bronze.png,AUS,Bronze
NaN,John Edwin BERTRAND,1976 Montreal,Sailing,Men's,Finn - One Person Dinghy (Heavyweight),Images/Medal_Bronze.png,AUS,Bronze
NaN,Ian RUFFIan BROWN,1976 Montreal,Sailing,Men's,470 - Two Person Dinghy,Images/Medal_Bronze.png,AUS,Bronze
NaN,Stephen HOLLAND,1976 Montreal,Swimming,Men's,1500m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Mark KERRYMark TONELLIPeter EVANSNeil BROOKS,1980 Moscow,Swimming,Men's,4x100m medley relay,Images/Medal_Gold.png,AUS,Gold
NaN,Michelle FORD,1980 Moscow,Swimming,Women's,800m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Richard MITCHELL,1980 Moscow,Athletics,Men's,400m,Images/Medal_Silver.png,AUS,Silver
NaN,John SUMEGI,1980 Moscow,Canoe Sprint,Men's,K-1 500m (kayak single),Images/Medal_Silver.png,AUS,Silver
NaN,Graeme BREWER,1980 Moscow,Swimming,Men's,200m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Maxwell METZKER,1980 Moscow,Swimming,Men's,1500m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Peter EVANS,1980 Moscow,Swimming,Men's,100m breaststroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Mark KERRY,1980 Moscow,Swimming,Men's,200m backstroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Michelle FORD,1980 Moscow,Swimming,Women's,200m butterfly,Images/Medal_Bronze.png,AUS,Bronze
NaN,Glyniss Leanne NUNN-SAUNDERS-CEARNS,1984 Los Angeles,Athletics,Women's,heptathlon,Images/Medal_Gold.png,AUS,Gold
NaN,Kevin NICHOLSDean WOODSMichael GRENDAMichael TURTUR,1984 Los Angeles,Cycling Track,Men's,Team Pursuit (4000m),Images/Medal_Gold.png,AUS,Gold
NaN,Jonathan SIEBEN,1984 Los Angeles,Swimming,Men's,200m butterfly,Images/Medal_Gold.png,AUS,Gold
NaN,Dinko LUKIN,1984 Los Angeles,Weightlifting,Men's,+ 110kg (super heavyweight),Images/Medal_Gold.png,AUS,Gold
NaN,Gary HONEY,1984 Los Angeles,Athletics,Men's,long jump,Images/Medal_Silver.png,AUS,Silver
NaN,Timothy MCLARENPaul REEDYAnthony LOVRICHGary GULLOCK,1984 Los Angeles,Rowing,Men's,quadruple sculls without coxswain,Images/Medal_Silver.png,AUS,Silver
NaN,Marcus STOCKWELL,1984 Los Angeles,Swimming,Men's,100m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Marcus STOCKWELLNeil BROOKSMichael DELANYGregory FASALA,1984 Los Angeles,Swimming,Men's,4x100m freestyle relay,Images/Medal_Silver.png,AUS,Silver
NaN,Glenn BERINGEN,1984 Los Angeles,Swimming,Men's,200m breaststroke,Images/Medal_Silver.png,AUS,Silver
NaN,Karen PHILLIPS,1984 Los Angeles,Swimming,Women's,200m butterfly,Images/Medal_Silver.png,AUS,Silver
NaN,Suzanne LANDELLS,1984 Los Angeles,Swimming,Women's,400m individual medley,Images/Medal_Silver.png,AUS,Silver
NaN,Robert KABBAS,1984 Los Angeles,Weightlifting,Men's,75 - 82.5kg (light-heavyweight),Images/Medal_Silver.png,AUS,Silver
NaN,Gael MULHALL-MARTIN,1984 Los Angeles,Athletics,Women's,shot put,Images/Medal_Bronze.png,AUS,Bronze
NaN,Grant KENNYBarry KELLY,1984 Los Angeles,Canoe Sprint,Men's,K-2 1000m (kayak double),Images/Medal_Bronze.png,AUS,Bronze
NaN,Craig MULLERSamuel PATTENIan EDMUNDSIon POPAGavin THREDGOLDClyde HEFERTimothy WILLOUGHBYJames BATTERSBYStephen EVANS,1984 Los Angeles,Rowing,Men's,eight with coxswain (8+),Images/Medal_Bronze.png,AUS,Bronze
NaN,Robyn GREY-GARDNERSusan CHAPMAN-POPASusan LEEKaren BRANCOURT-POLLOCKMargot FOSTER,1984 Los Angeles,Rowing,Women's,four-oared shell with coxswain,Images/Medal_Bronze.png,AUS,Bronze
NaN,Christopher CAIRNSJohn Scott ANDERSON,1984 Los Angeles,Sailing,Mixed,Tornado - Multihull,Images/Medal_Bronze.png,AUS,Bronze
NaN,Patricia DENCH,1984 Los Angeles,Shooting,Women's,25m pistol,Images/Medal_Bronze.png,AUS,Bronze
NaN,Justin LEMBERG,1984 Los Angeles,Swimming,Men's,400m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Peter EVANS,1984 Los Angeles,Swimming,Men's,100m breaststroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Glenn BUCHANAN,1984 Los Angeles,Swimming,Men's,100m butterfly,Images/Medal_Bronze.png,AUS,Bronze
NaN,Robert WOODHOUSE,1984 Los Angeles,Swimming,Men's,400m individual medley,Images/Medal_Bronze.png,AUS,Bronze
NaN,Mark KERRYGlenn BUCHANANPeter EVANSMarcus STOCKWELL,1984 Los Angeles,Swimming,Men's,4x100m medley relay,Images/Medal_Bronze.png,AUS,Bronze
NaN,Michelle PEARSON,1984 Los Angeles,Swimming,Women's,200m individual medley,Images/Medal_Bronze.png,AUS,Bronze
NaN,Deborah FLINTOFF-KING,1988 Seoul,Athletics,Women's,400m hurdles,Images/Medal_Gold.png,AUS,Gold
NaN,Lorraine HILLASAlexandra PISANIJacqueline Margaret PEREIRAElspeth CLEMENT-DENNINGLoretta DORMANSharon PATMOREDeborah BOWMANKim SMALLKathleen Anne PARTRIDGEMichelle Edith CAPES-HAGERSally May CARBONTracey Lee BELBINLiane Marianne TOOTHRechelle HAWKESMaree FISHLee CAPES,1988 Seoul,Hockey,Women's,hockey,Images/Medal_Gold.png,AUS,Gold
NaN,Duncan John ARMSTRONG,1988 Seoul,Swimming,Men's,200m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Lisa MARTIN-ONDIEKI-O'DEA,1988 Seoul,Athletics,Women's,marathon,Images/Medal_Silver.png,AUS,Silver
NaN,Grahame CHENEY,1988 Seoul,Boxing,Men's,60 - 63.5kg (light-welterweight),Images/Medal_Silver.png,AUS,Silver
NaN,Grant DAVIES,1988 Seoul,Canoe Sprint,Men's,K-1 1000m (kayak single),Images/Medal_Silver.png,AUS,Silver
NaN,Dean WOODS,1988 Seoul,Cycling Track,Men's,individual pursuit,Images/Medal_Silver.png,AUS,Silver
NaN,Martin VINNICOMBE,1988 Seoul,Cycling Track,Men's,1km time trial,Images/Medal_Silver.png,AUS,Silver
NaN,Duncan John ARMSTRONG,1988 Seoul,Swimming,Men's,400m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Kelvin John GRAHAMPeter FOSTER,1988 Seoul,Canoe Sprint,Men's,K-2 1000m (kayak double),Images/Medal_Bronze.png,AUS,Bronze
NaN,Wayne MCCARNEYDean WOODSBrett DUTTONStephen John MCGLEDE,1988 Seoul,Cycling Track,Men's,Team Pursuit (4000m),Images/Medal_Bronze.png,AUS,Bronze
NaN,Garry Malcolm NEIWAND,1988 Seoul,Cycling Track,Men's,sprint individual,Images/Medal_Bronze.png,AUS,Bronze
NaN,Julie MCDONALD,1988 Seoul,Swimming,Women's,800m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Wendy TURNBULLElizabeth SMYLIE,1988 Seoul,Tennis,Women's,doubles,Images/Medal_Bronze.png,AUS,Bronze
NaN,Clint ROBINSON,1992 Barcelona,Canoe Sprint,Men's,K-1 1000m (kayak single),Images/Medal_Gold.png,AUS,Gold
NaN,Kathryn Anne WATT,1992 Barcelona,Cycling Road,Women's,individual road race,Images/Medal_Gold.png,AUS,Gold
NaN,KIBAH TIC TOCMatthew Morgan RYAN,1992 Barcelona,Equestrian Eventing,Mixed,individual,Images/Medal_Gold.png,AUS,Gold
NaN,DUNCAN IIPEPPERMINT GROVKIBAH TIC TOCKIWIDavid Michael GREENGillian ROLTONMatthew Morgan RYANAndrew HOY,1992 Barcelona,Equestrian Eventing,Mixed,team,Images/Medal_Gold.png,AUS,Gold
NaN,Stephen Mark HAWKINSPeter ANTONIE,1992 Barcelona,Rowing,Men's,double sculls (2x),Images/Medal_Gold.png,AUS,Gold
NaN,Nicholas GREENJames TOMKINSAndrew COOPERMike MCKAY,1992 Barcelona,Rowing,Men's,four without coxswain (4-),Images/Medal_Gold.png,AUS,Gold
NaN,Kieren John PERKINS,1992 Barcelona,Swimming,Men's,1500m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,Danielle Anne WOODWARD,1992 Barcelona,Canoe Slalom,Women's,K-1 (kayak single),Images/Medal_Silver.png,AUS,Silver
NaN,Stephen John MCGLEDEStuart O'GRADYBrett AITKENShaun William O'BRIEN,1992 Barcelona,Cycling Track,Men's,Team Pursuit (4000m),Images/Medal_Silver.png,AUS,Silver
NaN,Shane KELLY,1992 Barcelona,Cycling Track,Men's,1km time trial,Images/Medal_Silver.png,AUS,Silver
NaN,Garry Malcolm NEIWAND,1992 Barcelona,Cycling Track,Men's,sprint individual,Images/Medal_Silver.png,AUS,Silver
NaN,Kathryn Anne WATT,1992 Barcelona,Cycling Track,Women's,individual pursuit,Images/Medal_Silver.png,AUS,Silver
NaN,Michael YORKDamon DILETTIPaul Snowden LEWISJay Jason STACEYLee BODIMEADELachlan ELMERGregory CORBITTDavid WANSBROUGHKenneth WARKStephen DAVIESLachlan DREHERGraham REIDJohn Roderick BESTALLAshley CAREYDean EVANSWarren BIRMINGHAM,1992 Barcelona,Hockey,Men's,hockey,Images/Medal_Silver.png,AUS,Silver
NaN,Kieren John PERKINS,1992 Barcelona,Swimming,Men's,400m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Glen Clifford HOUSMAN,1992 Barcelona,Swimming,Men's,1500m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Hayley Jane LEWIS,1992 Barcelona,Swimming,Women's,800m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Timothy FORSYTH,1992 Barcelona,Athletics,Men's,high jump,Images/Medal_Bronze.png,AUS,Bronze
NaN,Daniela COSTIAN,1992 Barcelona,Athletics,Women's,discus throw,Images/Medal_Bronze.png,AUS,Bronze
NaN,Ramon Dean ANDERSSONIan Mark ROWLINGKelvin John GRAHAMSteven Michael WOOD,1992 Barcelona,Canoe Sprint,Men's,K-4 1000m (kayak four),Images/Medal_Bronze.png,AUS,Bronze
NaN,Lars Detlef KLEPPICH,1992 Barcelona,Sailing,Men's,board (lechner),Images/Medal_Bronze.png,AUS,Bronze
NaN,Mitch BOOTHJohn FORBES,1992 Barcelona,Sailing,Mixed,Tornado - Multihull,Images/Medal_Bronze.png,AUS,Bronze
NaN,Philip John ROGERS,1992 Barcelona,Swimming,Men's,100m breaststroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Hayley Jane LEWIS,1992 Barcelona,Swimming,Women's,400m freestyle,Images/Medal_Bronze.png,AUS,Bronze
NaN,Samantha Linette RILEY,1992 Barcelona,Swimming,Women's,100m breaststroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Susan O'NEILL,1992 Barcelona,Swimming,Women's,200m butterfly,Images/Medal_Bronze.png,AUS,Bronze
NaN,Nicole Dawn STEVENSON,1992 Barcelona,Swimming,Women's,200m backstroke,Images/Medal_Bronze.png,AUS,Bronze
NaN,Nicole Anne Louise BRADTKERachel Jane MCQUILLAN,1992 Barcelona,Tennis,Women's,doubles,Images/Medal_Bronze.png,AUS,Bronze
NaN,Kieran HANSENRichard NIZIELSKISteven BRADBURYAndrew MURTHA,1994 Lillehammer,Short Track Speed Skating,Men's,5000m relay,Images/Medal_Bronze.png,AUS,Bronze
NaN,ШефферРолтонХойДаттон,1996 Atlanta,Equestrian Eventing,Mixed,team,Images/Medal_Gold.png,AUS,Gold
NaN,NaN,1996 Atlanta,Hockey,Women's,hockey,Images/Medal_Gold.png,AUS,Gold
NaN,ТомкинсМаккейДжиннГрин,1996 Atlanta,Rowing,Men's,four without coxswain (4-),Images/Medal_Gold.png,AUS,Gold
NaN,СлаттерСтилл,1996 Atlanta,Rowing,Women's,pair without coxswain (2-),Images/Medal_Gold.png,AUS,Gold
NaN,Марк,1996 Atlanta,Shooting,Men's,Double trap,Images/Medal_Gold.png,AUS,Gold
NaN,Даймонд,1996 Atlanta,Shooting,Men's,Trap,Images/Medal_Gold.png,AUS,Gold
NaN,Перкинс,1996 Atlanta,Swimming,Men's,1500m freestyle,Images/Medal_Gold.png,AUS,Gold
NaN,О'Нейлл,1996 Atlanta,Swimming,Women's,200m butterfly,Images/Medal_Gold.png,AUS,Gold
NaN,ВудбриджВудфорд,1996 Atlanta,Tennis,Men's,doubles,Images/Medal_Gold.png,AUS,Gold
NaN,Фримэн,1996 Atlanta,Athletics,Women's,400m,Images/Medal_Silver.png,AUS,Silver
NaN,Макпол,1996 Atlanta,Athletics,Women's,javelin throw,Images/Medal_Silver.png,AUS,Silver
NaN,Феррис,1996 Atlanta,Cycling Track,Women's,sprint individual,Images/Medal_Silver.png,AUS,Silver
NaN,СкоттВейтманн,1996 Atlanta,Rowing,Men's,pair without coxswain (2-),Images/Medal_Silver.png,AUS,Silver
NaN,БутЛэнденбергер,1996 Atlanta,Sailing,Mixed,Tornado - Multihull,Images/Medal_Silver.png,AUS,Silver
NaN,Ковальски,1996 Atlanta,Swimming,Men's,1500m freestyle,Images/Medal_Silver.png,AUS,Silver
NaN,Миллер,1996 Atlanta,Swimming,Men's,100m butterfly,Images/Medal_Silver.png,AUS,Silver
NaN,Томас,1996 Atlanta,Swimming,Women's,200m butterfly,Images/Medal_Silver.png,AUS,Silver
NaN,NaN,1996 Atlanta,Swimming,Women's,4x100m medley relay,Images/Medal_Silver.png,AUS,Silver
NaN,NaN,1996 Atlanta,Basketball,Women's,basketball,Images/Medal_Bronze.png,AUS,Bronze
NaN,ПотхарстКоок,1996 Atlanta,Beach Volleyball,Women's,beach volleyball,Images/Medal_Bronze.png,AUS,Bronze
NaN,Робинсон,1996 Atlanta,Canoe Sprint,Men's,K-1 1000m (kayak single),Images/Medal_Bronze.png,AUS,Bronze
NaN,ТримКоллинз,1996 Atlanta,Canoe Sprint,Men's,K-2 500m (kayak double),Images/Medal_Bronze.png,AUS,Bronze
NaN,ВудБорхерт,1996 Atlanta,Canoe Sprint,Women's,K-2 500m (kayak double),Images/Medal_Bronze.png,AUS,Bronze
NaN,Макги,1996 Atlanta,Cycling Track,Men's,individual pursuit,Images/Medal_Bronze.png,AUS,Bronze
NaN,О'Грэди,1996 Atlanta,Cycling Track,Men's,points race,Images/Medal_Bronze.png,AUS,Bronze
NaN,О'ГрэдиВудсАйткенМакги,1996 Atlanta,Cycling Track,Men's,Team Pursuit (4000m),Images/Medal_Bronze.png,AUS,Bronze
